SIGNIFICANT_POINT_ID,CODE_FIR,CODE_IN_AIRWAY,CODE_ID,CODE_CHANNEL,TXT_NAME,CODE_TYPE,GEO_LAT_ACCURACY,GEO_LONG_ACCURACY,VAL_FREQ,UOM_FREQ,VAL_MAG_VAR,VAL_ELEV,UOM_DIST_VER,TXT_RMK,IS_REP_ATC,IS_PBN,PURPOSE,ROUTE_RESTRICT,IS_TRANS_POINT,IS_BORDER_POINT,SERVICED_AIRPORT,IS_MODIFIED,
cd667363-7f8c-47bf-aa98-4bdbbdad0e4f,兰州情报区,Y,DGE,CH78X,果洛,VOR/DME,N342009,E1002800,113.1,MHz,-1.29,4130,M,DME：122°径向线距台0.8NM以内、302°径向线距台0.8NM以内、30号跑道ILS/DME进近程序1NM以内不可用。,Y,N,AE,N,N,N,ZLGL,N,
64130591-e3be-4409-8c4b-6f62b690dd5c,昆明情报区,Y,XYI,CH85X,兴义,VOR/DME,N250346,E1045813,113.8,MHz,-1.7,1261,M,VOR：035°径向线距台26NM以外不可用；DME：035°径向线进离场程序距台14NM以外不可用，035°径向线距台18NM以外不可用。,Y,N,AE,N,N,N,ZUYI,N,
32d30d34-8673-4219-b619-552763d3e57b,兰州情报区,Y,AKD,CH85X,安康富强东,VOR/DME,N324507,E1085553,113.8,MHz,-3.39,406,M,VOR/DME：335°径向线顺时针方向至350°径向线之间不可用；DME：320°径向线距台18NM以外不可用。,Y,N,AE,N,N,N,ZLAK,N,
063b317d-ec2f-492a-8d17-c2925296cf8d,兰州情报区,Y,YLX,CH114X,榆林,VOR/DME,N382250,E1093447,116.7,MHz,-4.5,1195,M,,Y,N,AE,N,N,N,ZLYL,N,
786793fc-b3b9-422c-9456-a30b9d7170df,昆明情报区,Y,DLZ,CH124X,云龙,VOR/DME,N290229,E1053029,117.7,MHz,-2.12,355,M,,Y,N,AE,N,N,N,ZULZ,N,
24d94ecf-9d43-426a-9ade-c9a6b43852fb,昆明情报区,Y,TRN,CH99X,铜仁,VOR/DME,N275210,E1091739,115.2,MHz,-2.83,721,M,,Y,N,AE,N,N,N,ZUTR,N,
efd197e2-f14d-4dca-8c82-9256b0415c7c,上海情报区,Y,HSN,CH70X,舟山,VOR/DME,N295557,E1222153,112.3,MHz,-5.97,9,M,DME：096°径向线顺时针方向至104°径向线之间、243°径向线顺时针方向至254°径向线之间不可用。,Y,N,AE,N,N,N,ZSZS,N,
dae565aa-3a13-42e7-a629-8eba5cc0374d,上海情报区,Y,LJG,CH123X,连江,VOR/DME,N261316,E1193257,117.6,MHz,-4.74,,,VOR/DME：070°径向线顺时针方向至150°径向线之间（117°径向线进场程序、133°径向线离场程序除外），189°径向线初始进近程序距台22NM以外不可用；DME：004°径向线进离场程序距台22NM以外，航路程序距台35NM以外不可用。,Y,N,AE,N,N,N,ZSFZ,N,
0788e211-c5fe-4a58-9cb7-894839baa62d,广州情报区,Y,TAN,CH72X,源潭,VOR/DME,N234010,E1131435,112.5,MHz,-3,184,M,,Y,N,AE,N,N,N,ZGGG,N,
151db47c-77e4-4d2f-b8de-7308902029dd,广州情报区,Y,HCC,CH33X,河池,VOR/DME,N244811,E1074228,109.6,MHz,-2.58,699,M,,Y,N,AE,N,N,N,ZGHC,N,
